"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"lfc_shrunken"	"SYMBOL"	"GENENAME"	"ENTREZID"	"Ctrl_1"	"Ctrl_2"	"Ctrl_3"	"Ctrl_4"	"OB_OA_1"	"OB_OA_2"	"OB_OA_3"	"OB_OA_4"	"OB_OA_5"	"OB_OA_6"	"OB_OA_7"
"ENSG00000005249"	876.936193801051	-3.05117917227778	0.807959572729576	-3.77640079437366	0.000159110890264002	0.0125364151480498	-2.05344952037634	"PRKAR2B"	"protein kinase cAMP-dependent type II regulatory subunit beta"	"5577"	98	3143	338	5369	125	186	214	222	273	151	528
"ENSG00000005844"	253.311572258242	1.35966128583763	0.372106253571736	3.65395978376242	0.000258226731938402	0.0175594177718114	1.22453373689118	"ITGAL"	"integrin subunit alpha L"	"3683"	116	161	95	173	162	94	386	444	310	464	453
"ENSG00000006283"	90.7871685893979	1.86680496402186	0.516759760624933	3.6125199875553	0.000303235724860515	0.0196894341443873	1.53436981175724	"CACNA1G"	"calcium voltage-gated channel subunit alpha1 G"	"8913"	40	26	28	51	57	15	81	133	207	124	264
"ENSG00000006611"	15.3525500402505	4.1003616384358	1.08851722736235	3.76692397268863	0.000165271303403987	0.0128367543037499	2.00687029836648	"USH1C"	"USH1 protein network component harmonin"	"10083"	0	2	0	4	17	2	16	69	31	0	20
"ENSG00000007908"	430.090734396179	4.18079880606006	0.531853133093788	7.8608144728609	3.81643699646001e-15	1.73876869558718e-11	3.3629295893779	"SELE"	"selectin E"	"6401"	40	11	35	70	106	1732	844	268	340	999	648
"ENSG00000007968"	53.798842627558	1.8678716247335	0.552834669361605	3.37871651011043	0.00072825062595161	0.0356764500197369	1.49566529176694	"E2F2"	"E2F transcription factor 2"	"1870"	27	5	40	11	38	59	173	32	40	55	129
"ENSG00000011426"	144.318433444809	2.26032509399079	0.494663227282783	4.56942212261643	4.89070852902847e-06	0.000981108328549183	1.88369459753504	"ANLN"	"anillin actin binding protein"	"54443"	32	27	91	26	175	92	474	116	209	106	214
"ENSG00000011638"	550.007213772638	-1.05174665906593	0.240384461268681	-4.37526890679665	1.21282871030003e-05	0.00196176838016341	-1.00616264768592	"LDAF1"	"lipid droplet assembly factor 1"	"57146"	1084	806	701	890	184	619	406	418	444	365	388
"ENSG00000022267"	16511.2429631426	-1.84813863200451	0.405231867174339	-4.56069421413348	5.09847815504845e-06	0.00100267625069356	-1.63992664128025	"FHL1"	"four and a half LIM domains 1"	"2273"	16708	31187	24169	61464	2967	15201	4107	5779	8947	8896	15717
"ENSG00000024526"	15.6110694977777	2.24029042868043	0.588067875580836	3.80957797850748	0.000139204198339605	0.011427285182617	1.75894083153844	"DEPDC1"	"DEP domain containing 1"	"55635"	2	8	3	7	11	15	53	27	21	18	12
"ENSG00000034053"	29.2616944652045	1.9135414029754	0.491410347901611	3.89397864970992	9.86133329382703e-05	0.00916902744626039	1.60470042282049	"APBA2"	"amyloid beta precursor protein binding family A member 2"	"321"	15	8	3	20	12	21	50	43	41	54	72
"ENSG00000034971"	1158.89622351322	-3.93074084220949	1.04756375405001	-3.75226884952134	0.000175241385846848	0.0133810014623169	-2.15326471685366	"MYOC"	"myocilin"	"4653"	658	2077	6905	2346	156	197	23	4	28	419	451
"ENSG00000038427"	30107.0654475573	1.4178590435639	0.369330998353509	3.83899280018403	0.000123540052794472	0.0106532835431851	1.27863068589382	"VCAN"	"versican"	"1462"	8202	12160	24018	17634	18017	19765	41883	58531	56019	26141	56592
"ENSG00000041982"	49091.6672488518	1.62570905543253	0.472142214923665	3.44326138194479	0.0005747435340448	0.0304480411756757	1.37765914670198	"TNC"	"tenascin C"	"3371"	21073	9472	48694	7556	50473	69306	44438	38437	72889	51875	117375
"ENSG00000042286"	693.068774191675	-1.39713073150632	0.426143010473734	-3.27854897808405	0.00104342255573806	0.0446369311168319	-1.22467804105305	"AIFM2"	"apoptosis inducing factor mitochondria associated 2"	"84883"	437	1415	633	2569	198	556	467	261	317	422	901
"ENSG00000046604"	101.595787945127	-2.03756257814841	0.621465529085351	-3.27864134499498	0.00104308112678253	0.0446369311168319	-1.57554880764223	"DSG2"	"desmoglein 2"	"1829"	30	308	113	415	3	47	16	53	54	68	117
"ENSG00000049192"	463.734059507869	1.4712962507437	0.449656454339313	3.27204521706577	0.00106772498122673	0.0452872859620716	1.2656446883532	"ADAMTS6"	"ADAM metallopeptidase with thrombospondin type 1 motif 6"	"11174"	142	235	375	164	379	1623	287	537	506	503	355
"ENSG00000051341"	26.5089708432923	1.98082449766691	0.462688455631945	4.2811193440335	1.85955592389128e-05	0.00271833265965199	1.69248271538592	"POLQ"	"DNA polymerase theta"	"10721"	9	13	11	6	17	20	75	47	38	30	34
"ENSG00000053747"	780.896379732074	-1.28497684219743	0.365236838437784	-3.5182016351188	0.000434482093800019	0.0258195706872116	-1.16404356395082	"LAMA3"	"laminin subunit alpha 3"	"3909"	865	830	2240	1345	216	525	402	341	468	748	1003
"ENSG00000054803"	6.55990244234743	5.87994220868014	1.33830257898427	4.39358206508339	1.11498071998367e-05	0.00185848249765084	2.31710496132237	"CBLN4"	"cerebellin 4 precursor"	"140689"	0	0	0	0	9	5	3	29	8	12	1
"ENSG00000057294"	139.839275847829	-1.91336533109578	0.473857006776196	-4.03785383298018	5.39424451177188e-05	0.00609326727164447	-1.63180232362844	"PKP2"	"plakophilin 2"	"5318"	112	394	257	372	13	106	34	48	185	73	62
"ENSG00000062716"	3398.47991763818	1.12006584949709	0.282771486828392	3.96102825663195	7.46276999405132e-05	0.00772735911202223	1.05333177392903	"VMP1"	"vacuole membrane protein 1"	"81671"	1767	1753	2060	2753	1802	3316	6534	5263	4536	6422	2674
"ENSG00000064886"	4300.10699438633	2.51111485806751	0.515207780836868	4.8739847328948	1.09369445737245e-06	0.000318055656241844	2.05901088916946	"CHI3L2"	"chitinase 3 like 2"	"1117"	283	2411	928	1003	3441	2076	14555	4683	6653	2699	9723
"ENSG00000066279"	100.427681701776	2.27077527112626	0.561522525042376	4.04396114110452	5.25556336593704e-05	0.00598608667380229	1.80198105659912	"ASPM"	"assembly factor for spindle microtubules"	"259266"	22	13	71	15	125	57	357	120	141	54	105
"ENSG00000069399"	1222.76226270118	1.11270369162136	0.321547145074703	3.46046826620979	0.000539236786562402	0.0293053216649499	1.02831619880567	"BCL3"	"BCL3 transcription coactivator"	"602"	903	432	983	633	618	1944	2102	820	2422	1542	1643
"ENSG00000069482"	55.1536905323589	4.35607321522037	1.03414386245012	4.21225070649247	2.5283869121129e-05	0.00350340359256673	2.0635115635989	"GAL"	"galanin and GMAP prepropeptide"	"51083"	0	9	2	7	61	9	68	9	43	300	104
"ENSG00000071282"	952.53461734157	-1.12957553667637	0.28715678850102	-3.93365430283867	8.36640877382319e-05	0.00821519028089559	-1.06112576536391	"LMCD1"	"LIM and cysteine rich domains 1"	"29995"	1883	1484	1016	1831	267	785	614	444	677	930	1106
"ENSG00000071539"	32.5029615467261	1.35361087609192	0.416017133843212	3.25373828617854	0.00113897157849641	0.047374312142355	1.19026691094932	"TRIP13"	"thyroid hormone receptor interactor 13"	"9319"	15	14	18	23	20	33	84	22	49	32	62
"ENSG00000074966"	37.8607979374057	1.54397890172989	0.456372527888906	3.38315478556969	0.000716582329592881	0.0353837889764207	1.32356087489344	"TXK"	"TXK tyrosine kinase"	"7294"	6	30	26	10	28	46	43	78	72	48	33
"ENSG00000075213"	2775.31859425235	2.29738160666074	0.434000594833129	5.29349875095002	1.19998061969598e-07	5.96412185818349e-05	1.99238369479143	"SEMA3A"	"semaphorin 3A"	"10371"	550	1254	551	1072	3012	2102	3604	6365	7526	2280	1608
"ENSG00000076716"	309.11454641286	-1.21613084270929	0.369988474871899	-3.28694250038558	0.00101281511673858	0.0439239441217725	-1.09893466717211	"GPC4"	"glypican 4"	"2239"	313	611	398	777	91	164	135	181	273	175	476
"ENSG00000077152"	15.7882102753708	2.2884458495869	0.673488351660388	3.39789967257053	0.000679053180693	0.0341852628866001	1.67259974433269	"UBE2T"	"ubiquitin conjugating enzyme E2 T"	"29089"	5	5	7	2	15	39	46	20	22	10	3
"ENSG00000078053"	115.271573102942	-1.8744577968761	0.499877847040841	-3.74983169982916	0.000176953291688292	0.0134271047099469	-1.57256595967005	"AMPH"	"amphiphysin"	"273"	44	171	492	197	22	53	98	50	34	57	111
"ENSG00000078081"	11.7010538075633	3.21975497190863	0.882271806293	3.64939120681746	0.000262862535062057	0.0177949073181492	1.9754604513433	"LAMP3"	"lysosomal associated membrane protein 3"	"27074"	1	5	0	2	9	0	22	30	20	16	25
"ENSG00000082074"	1678.50077879378	1.50109513548208	0.430366358626326	3.48794719985406	0.000486744189366491	0.0276050604990091	1.30678053218343	"FYB1"	"FYN binding protein 1"	"2533"	612	937	445	1377	2115	861	2960	3485	1642	2319	1075
"ENSG00000082212"	2433.14479592296	1.77683828747696	0.50672460852628	3.50651667114526	0.000454012995132938	0.0265319664246601	1.46998385781708	"ME2"	"malic enzyme 2"	"4200"	1130	1123	728	1095	1542	871	9903	5140	2451	2674	1019
"ENSG00000082397"	3404.77699506345	1.00169930659449	0.303368850075882	3.30191879075234	0.000960258674869787	0.0424065123364144	0.933602799299187	"EPB41L3"	"erythrocyte membrane protein band 4.1 like 3"	"23136"	1928	2247	2297	2375	3583	2733	4415	4559	6278	3922	2597
"ENSG00000083782"	265.989389110149	6.57922372278673	1.15891676647524	5.67704593902542	1.37040679104472e-08	1.44082461692302e-05	2.15405620549073	"EPYC"	"epiphycan"	"1833"	0	10	2	7	227	6	386	1260	751	125	97
"ENSG00000085265"	216.428399204198	2.22021384324834	0.622997578871352	3.56375998646828	0.000365580253052406	0.022609732573395	1.67721662169408	"FCN1"	"ficolin 1"	"2219"	47	59	45	133	59	27	720	196	161	251	864
"ENSG00000085741"	290.480659758445	-1.43259505953083	0.377356550214404	-3.79639642856834	0.000146814658779621	0.0119026703012301	-1.28983232658748	"WNT11"	"Wnt family member 11"	"7481"	409	502	622	526	59	330	99	118	154	192	354
"ENSG00000087303"	4285.47894591765	1.23786790140314	0.354431294297469	3.4925468527173	0.000478437655089629	0.0273039075981839	1.12533220888747	"NID2"	"nidogen 2"	"22795"	3142	1474	3055	1967	2767	3441	6669	3612	6622	4478	11132
"ENSG00000087495"	24.8396194236081	-2.42731021950176	0.630914460777413	-3.8472889280598	0.000119432093233304	0.0104977353717865	-1.86478191874915	"PHACTR3"	"phosphatase and actin regulator 3"	"116154"	13	92	11	113	3	21	5	11	8	7	14
"ENSG00000088325"	115.332019510996	2.04843238757192	0.430878016329837	4.7540888834854	1.99343330496693e-06	0.000504560118746075	1.78174785333436	"TPX2"	"TPX2 microtubule nucleation factor"	"22974"	35	31	54	43	122	72	343	78	146	107	237
"ENSG00000088387"	2431.31278557415	-0.742052314589837	0.221307563474474	-3.35303639396594	0.000799301956330385	0.0374139011613825	-0.714567325829886	"DOCK9"	"dedicator of cytokinesis 9"	"23348"	2696	3322	3817	4110	1150	2201	1571	2404	1915	2176	2227
"ENSG00000091106"	341.567392694254	1.53961393924365	0.358371305340824	4.29614178450873	1.73796446799481e-05	0.00262480644735393	1.39646570187454	"NLRC4"	"NLR family CARD domain containing 4"	"58484"	183	183	130	159	345	186	911	429	398	440	385
"ENSG00000091513"	289.896192682539	-2.74588273825122	0.632071152565953	-4.34426207730577	1.39744605140194e-05	0.00220907655157089	-2.11094006231186	"TF"	"transferrin"	"7018"	76	1913	153	603	26	60	62	75	112	91	265
"ENSG00000092853"	60.9150732299684	2.50364366938542	0.586190431658597	4.27104151512928	1.94562181593062e-05	0.00282901691278082	1.94899133916533	"CLSPN"	"claspin"	"63967"	11	21	26	6	76	25	268	44	61	53	71
"ENSG00000094804"	71.1190849732644	1.52604623117084	0.429421067054818	3.5537293073142	0.00037980992570933	0.0232398458610147	1.3298627069895	"CDC6"	"cell division cycle 6"	"990"	42	20	30	46	65	79	240	73	69	55	72
"ENSG00000099139"	981.088630611404	1.06399778690834	0.31898035345459	3.3356216938916	0.000851088944312936	0.0391672851544418	0.984536310804585	"PCSK5"	"proprotein convertase subtilisin/kexin type 5"	"5125"	573	451	617	838	594	528	1743	982	1635	1343	1872
"ENSG00000099194"	40169.8681959649	-3.55821958807972	0.966790330728093	-3.68044598191214	0.000232826379923011	0.0162360763305495	-2.09790192053039	"SCD"	"stearoyl-CoA desaturase"	"6319"	6709	310390	10861	90416	3615	3576	6751	3563	5761	4109	31158
"ENSG00000099204"	3824.65647855486	-1.25612150840472	0.275191316926635	-4.56453903572689	5.00593052967384e-06	0.000991609543182349	-1.18587126344011	"ABLIM1"	"actin binding LIM protein 1"	"3983"	5136	6153	6966	7657	1257	3852	1482	2180	2875	2978	3445
"ENSG00000099958"	38.5249236754357	3.54972945345224	0.863298980410158	4.11181935111952	3.92553408641065e-05	0.00495252743948569	2.11969843830337	"DERL3"	"derlin 3"	"91319"	8	7	1	5	13	5	60	264	9	32	21
"ENSG00000100100"	1352.67051140263	-0.731827655112746	0.216438825301429	-3.38122171053898	0.000721642898424151	0.0355045539643046	-0.705852518668914	"PIK3IP1"	"phosphoinositide-3-kinase interacting protein 1"	"113791"	2219	1654	1808	2001	666	1304	849	1092	1296	1186	1230
"ENSG00000100162"	19.7086388345165	2.23078973464394	0.661664728602592	3.37148050698618	0.000747653294768457	0.0360160635037384	1.64421845548447	"CENPM"	"centromere protein M"	"79019"	3	6	10	6	13	11	76	9	23	11	58
"ENSG00000100302"	48.3569818993095	1.31124488578476	0.37816549454465	3.46738373728051	0.0005255510350502	0.0290756350535775	1.17776907896334	"RASD2"	"RASD family member 2"	"23551"	34	20	15	38	24	60	51	61	115	52	84
"ENSG00000100399"	46.5470132748772	-1.72394879297761	0.420394756077866	-4.10078567359269	4.11749784521279e-05	0.00513953977610671	-1.51685579917314	"CHADL"	"chondroadherin like"	"150356"	91	103	72	92	5	28	32	11	24	27	61
"ENSG00000100526"	75.1638893387952	2.8650544579997	0.564013510137579	5.07976210942328	3.77907792129794e-07	0.000139601181157568	2.26703112064264	"CDKN3"	"cyclin dependent kinase inhibitor 3"	"1033"	16	7	20	21	51	35	169	235	190	70	26
"ENSG00000100644"	3693.17926195148	1.27232485514289	0.318752396286543	3.99157738095603	6.56352643764109e-05	0.00700861557419363	1.17727616804451	"HIF1A"	"hypoxia inducible factor 1 subunit alpha"	"3091"	1616	1876	2102	2732	2967	5723	5195	6812	6054	3777	2033
"ENSG00000101057"	57.3285244132183	1.8302389860633	0.55638395453969	3.28952510425556	0.00100356603730502	0.0436838872544107	1.46169855842005	"MYBL2"	"MYB proto-oncogene like 2"	"4605"	23	12	41	15	56	15	192	38	51	77	115
"ENSG00000101230"	795.490835015519	1.56594794964401	0.342785923376345	4.56829712906488	4.91702666854105e-06	0.000981108328549183	1.43174921830945	"ISM1"	"isthmin 1"	"140862"	171	357	628	340	719	679	960	1162	968	1437	1317
"ENSG00000101282"	44.5296127310369	3.06468720524761	0.712951644923639	4.2985905524853	1.71887674191463e-05	0.00261040081205435	2.13764729479266	"RSPO4"	"R-spondin 4"	"343637"	5	17	1	11	20	22	10	56	77	61	230
"ENSG00000101542"	27.9941348053483	-3.18517189377943	0.582452729397691	-5.46855003507871	4.53731987146392e-08	3.33892138321586e-05	-2.53814141653069	"CDH20"	"cadherin 20"	"28316"	27	126	22	109	0	5	9	10	8	15	6
